Realisation number,Time,x
1.0,0.0,1.0395252908269206
1.0,0.01,1.0306373764486783
1.0,0.02,1.0247147491305957
1.0,0.03,1.021309839795458
1.0,0.04,1.0173260541766616
1.0,0.05,0.9973250173880933
1.0,0.06,1.0028175814349536
1.0,0.07,0.9940690041195062
1.0,0.08,0.9963877009913604
1.0,0.09,0.9808151132601133
1.0,0.1,0.9687776135798957
1.0,0.11,0.9719092835559382
1.0,0.12,0.9671286517885045
1.0,0.13,0.9704232768150558
1.0,0.14,0.9758883509144661
1.0,0.15,0.9627781587327656
1.0,0.16,0.9644628668869045
1.0,0.17,0.9654759351935923
1.0,0.18,0.9660370606261729
1.0,0.19,0.9693095906117463
1.0,0.2,0.9659730741348771
1.0,0.21,0.9759546881901725
1.0,0.22,0.9635687861059619
1.0,0.23,0.9527694546272906
1.0,0.24,0.9779072705384413
1.0,0.25,0.9674683505617612
1.0,0.26,0.9686812635729838
1.0,0.27,0.9832881824120732
1.0,0.28,0.9802002672186763
1.0,0.29,0.9789438048110837
1.0,0.3,0.9818358392986037
1.0,0.31,0.9850823638527785
1.0,0.32,0.9900072271688466
1.0,0.33,1.0108286485165174
1.0,0.34,0.9950420576601936
1.0,0.35,0.9928229238163889
1.0,0.36,0.9950341477873302
1.0,0.37,0.9864983597946605
1.0,0.38,0.9864042752768127
1.0,0.39,0.9997006772527414
1.0,0.4,1.001264372355277
1.0,0.41,0.9837459217990991
1.0,0.42,0.9848519271093483
1.0,0.43,0.9734207040296236
1.0,0.44,0.9753342106626894
1.0,0.45,0.9777318478431347
1.0,0.46,0.9757172133720267
1.0,0.47,0.9901743553622507
1.0,0.48,0.9827333432629063
1.0,0.49,0.9874461929845951
1.0,0.5,0.9989378577426262
1.0,0.51,1.003555282657455
1.0,0.52,1.0001466668225873
1.0,0.53,1.0086127976382349
1.0,0.54,1.0254206221751292
1.0,0.55,1.0227462860554135
1.0,0.56,1.0317918656467635
1.0,0.57,1.0328091277641354
1.0,0.58,1.041724481380101
1.0,0.59,1.0256412025091421
1.0,0.6,1.0252722454898564
1.0,0.61,1.012676191701739
1.0,0.62,1.007033820510394
1.0,0.63,1.0140910855904393
1.0,0.64,1.0155863994693763
1.0,0.65,1.0188366776826017
1.0,0.66,1.0168889294945778
1.0,0.67,0.9969031560120466
1.0,0.68,1.0005288426594798
1.0,0.69,1.0032759674215235
1.0,0.7,1.0127444698447996
1.0,0.71,1.000949021341892
1.0,0.72,1.0008583728952203
1.0,0.73,1.0068454273356984
1.0,0.74,1.0080126793701096
1.0,0.75,1.004529929532373
1.0,0.76,1.0020332249842185
1.0,0.77,0.9966549772770439
1.0,0.78,0.9947209563923247
1.0,0.79,1.009050589449723
1.0,0.8,1.0224558942439832
1.0,0.81,1.0094586868484459
1.0,0.82,1.0109328125766284
1.0,0.83,1.024791592113527
1.0,0.84,1.031221195522342
1.0,0.85,1.0344087517622513
1.0,0.86,1.0313293839300042
1.0,0.87,1.0448544987617279
1.0,0.88,1.0492335665332841
1.0,0.89,1.0430724375644032
1.0,0.9,1.0347003884986181
1.0,0.91,1.026714511976126
1.0,0.92,1.0215590999166035
1.0,0.93,1.0244415566492824
1.0,0.94,1.0295035319076662
1.0,0.95,1.038948843968048
1.0,0.96,1.0378937705752094
1.0,0.97,1.0122583711620488
1.0,0.98,1.0288911983036646
1.0,0.99,1.0231868273920797
