Realisation number,Time,x
1.0,0.0,1.0395252908269206
1.0,0.01,1.0306373764486783
1.0,0.02,1.024706411579999
1.0,0.03,1.0212849980151946
1.0,0.04,1.0172767071615294
1.0,0.05,0.9972433241863071
1.0,0.06,1.0026958299069244
1.0,0.07,0.9938996690311204
1.0,0.08,0.9961633693773081
1.0,0.09,0.980528551163265
1.0,0.1,0.968421633995209
1.0,0.11,0.9714768244991214
1.0,0.12,0.9666128840243581
1.0,0.13,0.9698174320592337
1.0,0.14,0.975185872847473
1.0,0.15,0.9619726608259126
1.0,0.16,0.9635478095486659
1.0,0.17,0.9644451194489847
1.0,0.18,0.9648844004515125
1.0,0.19,0.9680291114890326
1.0,0.2,0.9645589887684444
1.0,0.21,0.9744011511832033
1.0,0.22,0.9618704600361959
1.0,0.23,0.9509204026810738
1.0,0.24,0.9759016551428589
1.0,0.25,0.9653018198444737
1.0,0.26,0.9663481681502174
1.0,0.27,0.9807834567568955
1.0,0.28,0.9775196223036222
1.0,0.29,0.9760821879979938
1.0,0.3,0.9787883788707226
1.0,0.31,0.9818445261541869
1.0,0.32,0.9865746113021083
1.0,0.33,1.007197079492494
1.0,0.34,0.991208635463717
1.0,0.35000000000000003,0.9887821662745753
1.0,0.36,0.9907816478317618
1.0,0.37,0.9820301548334402
1.0,0.38,0.9817155388322714
1.0,0.39,0.994787393836525
1.0,0.4,0.9961239193174279
1.0,0.41000000000000003,0.9783746415445024
1.0,0.42,0.9792441982746806
1.0,0.43,0.9675729392546617
1.0,0.44,0.9692414359546293
1.0,0.45,0.9713906995219997
1.0,0.46,0.9691244720257332
1.0,0.47000000000000003,0.9833263050704261
1.0,0.48,0.9756285744107766
1.0,0.49,0.9800803587913667
1.0,0.5,0.9913084083136752
1.0,0.51,0.9956608005310533
1.0,0.52,0.9919847973721138
1.0,0.53,1.0001799707261265
1.0,0.54,1.0167153030985792
1.0,0.55,1.0137685136949182
1.0,0.56,1.0225383616662636
1.0,0.5700000000000001,1.0232788184795818
1.0,0.58,1.0319148832519798
1.0,0.59,1.015551442134714
1.0,0.6,1.0148965210768528
1.0,0.61,1.0020118965417175
1.0,0.62,0.9960757870482629
1.0,0.63,1.0028356254123973
1.0,0.64,1.004032687986525
1.0,0.65,1.006982703923984
1.0,0.66,1.0047331550450727
1.0,0.67,0.9844428470439829
1.0,0.68,0.98775679963515
1.0,0.6900000000000001,0.9901909156543043
1.0,0.7000000000000001,0.9993449732600269
1.0,0.71,0.9872355060715674
1.0,0.72,0.9868255415213053
1.0,0.73,0.9924912206507838
1.0,0.74,0.9933368204064215
1.0,0.75,0.9895308070544931
1.0,0.76,0.9867078778237566
1.0,0.77,0.9810007577493671
1.0,0.78,0.9787343320389713
1.0,0.79,0.9927291250335765
1.0,0.8,1.005802483094493
1.0,0.81,0.9924760458579784
1.0,0.8200000000000001,0.9936148113763541
1.0,0.8300000000000001,1.0071370593459066
1.0,0.84,1.013233373564789
1.0,0.85,1.016088328402473
1.0,0.86,1.0126759285155797
1.0,0.87,1.02586529161562
1.0,0.88,1.0299122057556809
1.0,0.89,1.023419091590054
1.0,0.9,1.0147111352509255
1.0,0.91,1.0063845412343078
1.0,0.92,1.000883740513163
1.0,0.93,1.0034172899169411
1.0,0.9400000000000001,1.0081302154226972
1.0,0.9500000000000001,1.0172273076366187
1.0,0.96,1.0158267999869104
